Account__c|Product__c|Daily_Sales__c|MTD_Sales__c|QTD_Sales__c|FYTD_Sales__c
100013|00517-1004-25|0|0|252.25|252.25
100069|00517-0420-01|0|0|139.06|139.06
100069|00517-0720-01|0|0|1333.92|1333.92
100069|00517-1004-25|0|0|469.48|469.48
100069|00517-2051-25|0|0|828|828
100071|00517-0720-01|0|0|95.28|95.28
100071|00517-0740-20|0|0|453.6|453.6
100071|00517-1020-25|0|0|250|250
100071|00517-2340-10|0|0|300|300
100071|00517-4002-25|0|0|241.21|241.21
100071|00517-4810-25|0|0|173.03|173.03
100071|00517-7315-25|0|0|4372.69|4372.69
100071|00517-7504-25|142.5|142.5|570|570
100071|00517-7604-25|0|0|137.5|137.5
100071|00517-9120-25|0|0|1625|1625
100071|00517-9305-25|0|0|11889|11889
100071|00517-9702-25|234.27|234.27|1796.07|1796.07
100183|00517-0031-25|0|0|56.5|56.5
100183|00517-0720-01|0|0|742|742
100183|00517-1004-25|0|0|252.25|252.25
100183|00517-7305-25|0|0|299|299
100186|00517-0374-05|0|0|2200|2200
100186|00517-0650-01|0|0|11445.6|11445.6
100186|00517-0740-20|0|0|907.2|907.2
100186|00517-0799-01|0|0|1706.6|1706.6
100186|00517-2310-05|0|0|15300|15300
100186|00517-2340-10|0|0|900|900
100186|00517-2340-99|0|0|5940|5940
100186|00517-4601-25|0|0|397.5|397.5
100186|00517-5601-25|0|0|570.75|570.75
100186|00517-8005-25|0|0|2144.31|2144.31
100186|00517-9305-25|0|0|10117.5|10117.5
100186|00517-9702-25|0|0|421|421
100188|00517-0031-25|0|0|107.25|107.25
100188|00517-0374-05|0|0|2023.95|2023.95
100188|00517-0710-01|0|0|2340|2340
100188|00517-0720-01|0|0|1337.35|1337.35
100188|00517-0955-01|144.82|144.82|1414.78|1414.78
100188|00517-1001-25|0|0|961.65|961.65
100188|00517-9702-25|0|0|178.08|178.08
100194|00517-0740-20|0|0|453.6|453.6
100194|00517-1004-25|0|0|342|342
100194|00517-2310-05|180|180|1620|1620
100194|00517-2340-10|0|0|540|540
100194|00517-4300-01|0|0|36279.36|36279.36
100194|00517-9702-25|0|0|716.56|716.56
100198|00517-0740-20|0|0|1360.8|1360.8
100198|00517-2310-05|180|180|1080|1080
100198|00517-2340-10|0|0|1080|1080
100198|00517-5601-25|0|0|559.25|559.25
100198|00517-7504-25|0|0|997.5|997.5
100198|00517-7604-25|0|0|687.5|687.5
100198|00517-9120-25|0|0|1200|1200
100198|00517-9302-25|0|0|1103|1103
100198|00517-9305-25|0|0|10568|10568
100205|00517-0650-01|0|0|11340|11340
100205|00517-0720-01|0|0|620.3|620.3
100205|00517-1045-05|0|0|1238.4|1238.4
100205|00517-5602-25|0|0|1160.25|1160.25
100205|00517-7604-25|0|0|1650|1650
100205|00517-9702-25|0|0|1062|1062
100206|00517-0381-05|0|0|5709.34|5709.34
100206|00517-0740-20|0|0|530.27|530.27
100206|00517-0901-25|0|0|766.7|766.7
100206|00517-1004-25|0|0|1513.5|1513.5
100206|00517-2340-10|0|0|22650|22650
100206|00517-2340-25|0|0|3750|3750
100206|00517-4002-25|0|0|241.21|241.21
100206|00517-7305-25|0|0|891|891
100206|00517-7315-25|0|0|1350|1350
100206|00517-7604-25|0|0|1237.5|1237.5
100206|00517-9702-25|0|0|156.18|156.18
100209|00517-0031-25|0|0|67.41|67.41
100209|00517-0650-01|0|0|92000|92000
100209|00517-1020-25|0|0|3904.25|3904.25
100209|00517-2340-10|450|450|1050|1050
100209|00517-4810-25|0|0|375.5|375.5
100209|00517-9305-25|0|0|674.5|674.5
100209|00517-9702-25|0|0|354.18|354.18
100230|00517-0720-01|0|0|305.68|305.68
100230|00517-0955-01|0|0|55.7|55.7
100230|00517-4300-01|0|0|6201.6|6201.6
100230|00517-4602-25|0|0|108|108
100230|00517-9305-25|0|0|674.25|674.25
100235|00517-0720-01|0|0|333.48|333.48
100235|00517-1001-25|0|0|187.02|187.02
100235|00517-1004-25|0|0|228|228
100235|00517-2340-10|0|0|5046.59|5046.59
100235|00517-4300-01|0|0|8372.16|8372.16
100235|00517-9305-25|0|0|2132.5|2132.5
100235|00517-9702-25|0|0|265.5|265.5
100242|00517-0374-05|0|0|880|880
100242|00517-0650-01|3433.68|3433.68|45782.4|45782.4
100242|00517-0799-01|0|0|3932.6|3932.6
100242|00517-2310-05|360|360|8100|8100
100242|00517-2340-25|440|440|1320|1320
100242|00517-2340-99|0|0|1620|1620
100242|00517-4300-01|0|0|25581.6|25581.6
100242|00517-7305-25|305|305|610|610
100242|00517-9305-25|0|0|674.5|674.5
100244|00517-0031-25|0|0|84.75|84.75
100244|00517-0710-01|0|0|510.5|510.5
100244|00517-0720-01|0|0|1154.26|1154.26
100244|00517-0740-20|571.2|571.2|2738.4|2738.4
100244|00517-1820-01|0|0|1142.4|1142.4
100244|00517-2340-10|0|0|1093.18|1093.18
100244|00517-4300-01|0|0|1900|1900
100244|00517-7604-25|0|0|1578.5|1578.5
100245|00517-0381-05|0|0|3051.15|3051.15
100245|00517-0710-01|0|0|1026.16|1026.16
100245|00517-0720-01|0|0|840.62|840.62
100245|00517-2340-10|0|0|2520|2520
100245|00517-4002-25|0|0|831|831
100245|00517-4201-25|0|0|458.75|458.75
100245|00517-6101-25|0|0|1472.1|1472.1
100245|00517-7315-25|0|0|1687.5|1687.5
100277|00517-0650-01|0|0|71845.96|71845.96
100277|00517-0710-01|0|0|2062.64|2062.64
100277|00517-0720-01|0|0|764.2|764.2
100277|00517-0740-20|0|0|1814.4|1814.4
100277|00517-1001-25|0|0|374.04|374.04
100277|00517-1030-01|0|0|1759.78|1759.78
100277|00517-2340-25|2200|2200|2200|2200
100277|00517-4810-25|0|0|661.5|661.5
100277|00517-5601-25|0|0|1141.5|1141.5
100277|00517-7315-25|0|0|2000|2000
100277|00517-7604-25|1237.5|1237.5|3437.5|3437.5
100277|00517-9120-25|0|0|200|200
100277|00517-9702-25|0|0|358.28|358.28
100290|00517-0031-25|0|0|257.33|257.33
100290|00517-0374-05|0|0|871.62|871.62
100290|00517-0650-01|0|0|20700|20700
100290|00517-0720-01|0|0|143.7|143.7
100290|00517-1004-25|0|0|315.96|315.96
100290|00517-1980-05|0|0|86.8|86.8
100290|00517-2310-05|0|0|5700|5700
100290|00517-2340-10|0|0|2280|2280
100290|00517-6710-10|0|0|545.94|545.94
100290|00517-9702-25|0|0|78.09|78.09
100291|00517-0720-01|0|0|2369.02|2369.02
100291|00517-0740-20|0|0|453.6|453.6
100291|00517-0955-01|0|0|2785|2785
100291|00517-1001-25|0|0|384.66|384.66
100291|00517-1980-05|0|0|33.25|33.25
100291|00517-2502-10|0|0|369.5|369.5
100291|00517-7305-25|0|0|4897.75|4897.75
100291|00517-7604-25|1130.25|1130.25|14693.25|14693.25
100291|00517-9702-25|178.08|178.08|1068.48|1068.48
100293|00517-0799-01|0|0|779.1|779.1
100293|00517-1004-25|0|0|117.37|117.37
100293|00517-2051-25|0|0|276|276
100293|00517-2340-10|0|0|9000|9000
100293|00517-2340-99|3600|3600|18360|18360
100293|00517-5601-25|0|0|570.75|570.75
100293|00517-6710-10|0|0|80.1|80.1
100295|00517-0720-01|0|0|38.21|38.21
100295|00517-2310-05|0|0|1800|1800
100295|00517-4300-01|0|0|2790.72|2790.72
100295|00517-9120-25|0|0|200|200
100312|00517-0374-05|0|0|2200|2200
100312|00517-0710-01|0|0|1031.32|1031.32
100312|00517-0720-01|0|0|76.42|76.42
100312|00517-0740-20|0|0|1814.4|1814.4
100312|00517-2102-25|0|0|262.5|262.5
100312|00517-2310-05|0|0|5400|5400
100312|00517-2340-25|0|0|2200|2200
100312|00517-7504-25|0|0|1140|1140
100312|00517-9305-25|0|0|660.5|660.5
100312|00517-9702-25|0|0|716.56|716.56
100322|00517-0420-01|0|0|96.82|96.82
100322|00517-0720-01|229.26|229.26|573.15|573.15
100322|00517-2340-25|880|880|13200|13200
100322|00517-4300-01|0|0|2790.72|2790.72
100322|00517-7604-25|0|0|275|275
100322|00517-9120-25|0|0|600|600
100357|00517-0374-05|0|0|1494.75|1494.75
100357|00517-0720-01|0|0|360.04|360.04
100357|00517-0740-20|0|0|1024.8|1024.8
100357|00517-2340-10|0|0|720|720
100357|00517-2340-25|0|0|5513.44|5513.44
100357|00517-7604-25|0|0|376.75|376.75
100357|00517-9305-25|0|0|1410.5|1410.5
100364|00517-0720-01|0|0|229.26|229.26
100364|00517-0740-20|0|0|453.6|453.6
100364|00517-0791-01|0|0|4050.26|4050.26
100364|00517-2340-10|0|0|360|360
100364|00517-2340-25|880|880|9240|9240
100364|00517-4300-01|0|0|11162.88|11162.88
100364|00517-6710-10|0|0|54.7|54.7
100364|00517-9305-25|0|0|660.5|660.5
100377|00517-1004-25|0|0|504.5|504.5
100381|00517-0650-01|0|0|9200|9200
100381|00517-0720-01|0|0|16602|16602
100381|00517-0735-10|0|0|6426|6426
100381|00517-2340-10|0|0|1896.59|1896.59
100381|00517-7315-25|0|0|337.5|337.5
100381|00517-9305-25|660.5|660.5|1321|1321
100389|00517-0374-05|0|0|5720|5720
100389|00517-0720-01|0|0|350|350
100389|00517-0740-20|0|0|907.2|907.2
100389|00517-2340-10|0|0|1410|1410
100389|00517-4810-25|340.5|340.5|340.5|340.5
100389|00517-6710-10|0|0|160.16|160.16
100389|00517-7604-25|0|0|1507|1507
100401|00517-0374-05|0|0|880|880
100401|00517-0381-05|0|0|5418.8|5418.8
100401|00517-0650-01|0|0|10015.74|10015.74
100401|00517-0720-01|0|0|38.21|38.21
100401|00517-0791-01|0|0|534.94|534.94
100401|00517-1004-25|0|0|228|228
100401|00517-2310-05|12960|12960|70560|70560
100401|00517-2340-10|0|0|1620|1620
100401|00517-2340-25|0|0|3115|3115
100401|00517-4002-25|0|0|2077.5|2077.5
100401|00517-4300-01|0|0|13953.6|13953.6
100401|00517-4810-25|0|0|330.75|330.75
100401|00517-5601-25|0|0|1141.5|1141.5
100401|00517-6710-10|0|0|437.6|437.6
100401|00517-7315-25|0|0|337.5|337.5
100401|00517-7504-25|712.5|712.5|2137.5|2137.5
100401|00517-7604-25|0|0|550|550
100401|00517-9302-25|0|0|1103|1103
100401|00517-9305-25|0|0|8586.5|8586.5
100401|00517-9702-25|0|0|1253.98|1253.98
100403|00517-0031-25|0|0|848|848
100403|00517-0374-05|0|0|41360|41360
100403|00517-0420-01|0|0|677.74|677.74
100403|00517-0710-01|0|0|1031.32|1031.32
100403|00517-0720-01|611.36|611.36|21512.23|21512.23
100403|00517-0735-10|0|0|11016|11016
100403|00517-1001-25|0|0|1309.14|1309.14
100403|00517-1004-25|0|0|342|342
100403|00517-1820-01|8000|8000|37880|37880
100403|00517-2102-25|0|0|11660|11660
100403|00517-2340-10|0|0|15120|15120
100403|00517-2502-10|0|0|4064.5|4064.5
100403|00517-4601-25|0|0|495|495
100403|00517-4602-25|300|300|5200|5200
100403|00517-4810-25|0|0|330.75|330.75
100403|00517-6101-25|0|0|8769.83|8769.83
100403|00517-6560-05|0|0|97188|97188
